email_text,target
Please review the internship document attached,0
Team meeting regarding 4am update,0
Invoice for 12am attached,0
Congratulations you won 2949 prize claim now,1
Claim your 1855 reward before deadline,1
Report submission for salary project,0
You are selected for 1616 bonus offer,1
Claim your 4422 reward before deadline,1
Project discussion about 11am next week,0
Exclusive deal buy now and save 6441,1
Win 8589 dollars now click here,1
Please review the bank document attached,0
Class schedule for 4am has been updated,0
Meeting scheduled at 5am tomorrow,0
Meeting scheduled at 8am tomorrow,0
Free 1850 membership register today,1
You are selected for 9048 bonus offer,1
Exclusive deal buy now and save 1977,1
Class schedule for 12am has been updated,0
Team meeting regarding 12am update,0
Class schedule for 2am has been updated,0
Free 6509 membership register today,1
Free 9253 membership register today,1
You are selected for 2289 bonus offer,1
Lunch meeting at 12am today,0
Lunch meeting at 9am today,0
Interview confirmation for bonus position,0
Report submission for training project,0
Urgent verify your 5639 account immediately,1
Invoice for 12am attached,0
Meeting scheduled at 2am tomorrow,0
Please review the investment document attached,0
Earn 7161 per day from home,1
Exclusive deal buy now and save 5078,1
Meeting scheduled at 9am tomorrow,0
Report submission for invoice project,0
Free 8532 membership register today,1
Reminder about 10am deadline,0
Free 7978 membership register today,1
Team meeting regarding 4am update,0
Earn 1997 per day from home,1
Project discussion about 8am next week,0
Please review the invoice document attached,0
Congratulations you won 8142 prize claim now,1
Lunch meeting at 8am today,0
Class schedule for 12am has been updated,0
Earn 1558 per day from home,1
Congratulations you won 9335 prize claim now,1
Reminder about 12am deadline,0
Team meeting regarding 2am update,0
Exclusive deal buy now and save 5832,1
Report submission for account project,0
Invoice for 5am attached,0
Invoice for 9am attached,0
Exclusive deal buy now and save 8887,1
Free 4300 membership register today,1
Win 9755 dollars now click here,1
Invoice for 2am attached,0
Act fast limited 4992 offer available,1
Project discussion about 3am next week,0
Congratulations you won 7040 prize claim now,1
Invoice for 4am attached,0
Act fast limited 6242 offer available,1
Team meeting regarding 1am update,0
Report submission for bank project,0
Invoice for 1am attached,0
Free 4761 membership register today,1
Report submission for project project,0
Meeting scheduled at 11am tomorrow,0
Project discussion about 8am next week,0
You are selected for 7213 bonus offer,1
You are selected for 5365 bonus offer,1
Meeting scheduled at 5am tomorrow,0
Invoice for 8am attached,0
Win 8132 dollars now click here,1
Claim your 8576 reward before deadline,1
Interview confirmation for contract position,0
You are selected for 5329 bonus offer,1
Limited time offer get 8142 percent discount,1
Congratulations you won 7868 prize claim now,1
Congratulations you won 4962 prize claim now,1
Invoice for 1am attached,0
Project discussion about 10am next week,0
Interview confirmation for salary position,0
Interview confirmation for offer position,0
Team meeting regarding 7am update,0
Urgent verify your 8916 account immediately,1
Congratulations you won 9123 prize claim now,1
Report submission for investment project,0
Claim your 2280 reward before deadline,1
Meeting scheduled at 12am tomorrow,0
Team meeting regarding 2am update,0
Urgent verify your 9182 account immediately,1
Project discussion about 6am next week,0
Meeting scheduled at 8am tomorrow,0
Lunch meeting at 6am today,0
Earn 5136 per day from home,1
Congratulations you won 1612 prize claim now,1
Exclusive deal buy now and save 969,1
Earn 9500 per day from home,1
Class schedule for 7am has been updated,0
Lunch meeting at 1am today,0
Earn 1361 per day from home,1
Act fast limited 9468 offer available,1
Class schedule for 6am has been updated,0
Congratulations you won 4720 prize claim now,1
Claim your 7446 reward before deadline,1
Interview confirmation for training position,0
Project discussion about 5am next week,0
Lunch meeting at 9am today,0
Project discussion about 9am next week,0
Project discussion about 5am next week,0
Earn 8114 per day from home,1
Lunch meeting at 1am today,0
Please review the internship document attached,0
Report submission for training project,0
Please review the internship document attached,0
You are selected for 5645 bonus offer,1
Act fast limited 8560 offer available,1
Earn 1310 per day from home,1
Win 5878 dollars now click here,1
Congratulations you won 3137 prize claim now,1
Reminder about 7am deadline,0
Act fast limited 800 offer available,1
Interview confirmation for course position,0
Exclusive deal buy now and save 616,1
Reminder about 5am deadline,0
Earn 2656 per day from home,1
Act fast limited 5891 offer available,1
Earn 8647 per day from home,1
Please review the training document attached,0
Exclusive deal buy now and save 9007,1
Please review the bonus document attached,0
Act fast limited 4678 offer available,1
Please review the membership document attached,0
Please review the bank document attached,0
Meeting scheduled at 5am tomorrow,0
Exclusive deal buy now and save 991,1
Reminder about 10am deadline,0
Exclusive deal buy now and save 279,1
Win 640 dollars now click here,1
You are selected for 1042 bonus offer,1
Project discussion about 7am next week,0
Exclusive deal buy now and save 629,1
Report submission for bank project,0
Congratulations you won 2783 prize claim now,1
Urgent verify your 9585 account immediately,1
Congratulations you won 7366 prize claim now,1
Earn 8642 per day from home,1
Urgent verify your 7916 account immediately,1
Report submission for investment project,0
Act fast limited 3974 offer available,1
Invoice for 6am attached,0
Lunch meeting at 11am today,0
Lunch meeting at 6am today,0
Please review the project document attached,0
Report submission for course project,0
Free 2944 membership register today,1
Reminder about 6am deadline,0
Win 5623 dollars now click here,1
Please review the internship document attached,0
Act fast limited 1633 offer available,1
Urgent verify your 8020 account immediately,1
Free 3631 membership register today,1
Class schedule for 4am has been updated,0
You are selected for 4557 bonus offer,1
Free 5122 membership register today,1
Team meeting regarding 10am update,0
Limited time offer get 7186 percent discount,1
Class schedule for 11am has been updated,0
Please review the internship document attached,0
Report submission for training project,0
Urgent verify your 6411 account immediately,1
Lunch meeting at 6am today,0
Exclusive deal buy now and save 8605,1
You are selected for 1727 bonus offer,1
Congratulations you won 9093 prize claim now,1
Reminder about 9am deadline,0
Meeting scheduled at 10am tomorrow,0
Team meeting regarding 9am update,0
Project discussion about 7am next week,0
Limited time offer get 4058 percent discount,1
Congratulations you won 8144 prize claim now,1
Project discussion about 11am next week,0
Limited time offer get 2990 percent discount,1
Please review the membership document attached,0
Reminder about 2am deadline,0
Congratulations you won 9426 prize claim now,1
Free 9504 membership register today,1
Act fast limited 8912 offer available,1
Interview confirmation for membership position,0
Team meeting regarding 8am update,0
Claim your 3403 reward before deadline,1
Interview confirmation for bonus position,0
Interview confirmation for internship position,0
Reminder about 5am deadline,0
Meeting scheduled at 2am tomorrow,0
Report submission for investment project,0
Meeting scheduled at 6am tomorrow,0
Report submission for seminar project,0
Urgent verify your 569 account immediately,1
Report submission for internship project,0
Team meeting regarding 7am update,0
Earn 4713 per day from home,1
Urgent verify your 7873 account immediately,1
Limited time offer get 6829 percent discount,1
Urgent verify your 1353 account immediately,1
Class schedule for 3am has been updated,0
Project discussion about 8am next week,0
Interview confirmation for bonus position,0
Please review the bonus document attached,0
Class schedule for 5am has been updated,0
You are selected for 1046 bonus offer,1
Interview confirmation for offer position,0
You are selected for 1280 bonus offer,1
Class schedule for 2am has been updated,0
Lunch meeting at 7am today,0
Urgent verify your 5883 account immediately,1
Urgent verify your 9140 account immediately,1
Urgent verify your 8479 account immediately,1
Urgent verify your 7259 account immediately,1
Reminder about 8am deadline,0
Class schedule for 11am has been updated,0
Exclusive deal buy now and save 4158,1
Project discussion about 4am next week,0
Win 2114 dollars now click here,1
Lunch meeting at 8am today,0
Report submission for contract project,0
Meeting scheduled at 11am tomorrow,0
Invoice for 11am attached,0
Exclusive deal buy now and save 6219,1
Please review the course document attached,0
Congratulations you won 631 prize claim now,1
Act fast limited 9711 offer available,1
You are selected for 4858 bonus offer,1
Urgent verify your 1763 account immediately,1
Project discussion about 5am next week,0
Reminder about 2am deadline,0
Lunch meeting at 4am today,0
You are selected for 3861 bonus offer,1
Meeting scheduled at 2am tomorrow,0
Act fast limited 2160 offer available,1
Congratulations you won 7560 prize claim now,1
Earn 7030 per day from home,1
Limited time offer get 9902 percent discount,1
Urgent verify your 3530 account immediately,1
Win 4385 dollars now click here,1
Claim your 2998 reward before deadline,1
Exclusive deal buy now and save 4085,1
Claim your 8180 reward before deadline,1
Act fast limited 7600 offer available,1
Claim your 4969 reward before deadline,1
Reminder about 2am deadline,0
Free 5472 membership register today,1
Invoice for 12am attached,0
Claim your 3724 reward before deadline,1
Earn 438 per day from home,1
Limited time offer get 5981 percent discount,1
Urgent verify your 9958 account immediately,1
Class schedule for 9am has been updated,0
Congratulations you won 1829 prize claim now,1
Act fast limited 2510 offer available,1
Meeting scheduled at 1am tomorrow,0
Exclusive deal buy now and save 1326,1
Lunch meeting at 8am today,0
Act fast limited 1617 offer available,1
Win 8329 dollars now click here,1
Act fast limited 3581 offer available,1
Act fast limited 6680 offer available,1
Report submission for membership project,0
Congratulations you won 6392 prize claim now,1
Team meeting regarding 7am update,0
Please review the security document attached,0
Exclusive deal buy now and save 5271,1
Report submission for bank project,0
Earn 8986 per day from home,1
Class schedule for 6am has been updated,0
Reminder about 2am deadline,0
Team meeting regarding 10am update,0
Earn 3934 per day from home,1
Claim your 9407 reward before deadline,1
Earn 5059 per day from home,1
Congratulations you won 1759 prize claim now,1
Invoice for 6am attached,0
Urgent verify your 300 account immediately,1
Project discussion about 10am next week,0
Team meeting regarding 3am update,0
Free 2786 membership register today,1
Win 4000 dollars now click here,1
Congratulations you won 8971 prize claim now,1
Class schedule for 1am has been updated,0
Meeting scheduled at 11am tomorrow,0
Interview confirmation for account position,0
Project discussion about 12am next week,0
Claim your 4486 reward before deadline,1
Congratulations you won 1195 prize claim now,1
Report submission for project project,0
Project discussion about 1am next week,0
Urgent verify your 8938 account immediately,1
Urgent verify your 6689 account immediately,1
Lunch meeting at 11am today,0
Meeting scheduled at 4am tomorrow,0
Earn 7731 per day from home,1
You are selected for 9028 bonus offer,1
Earn 8089 per day from home,1
Congratulations you won 9446 prize claim now,1
Class schedule for 6am has been updated,0
Limited time offer get 4166 percent discount,1
Report submission for course project,0
Class schedule for 6am has been updated,0
Earn 6330 per day from home,1
Earn 1335 per day from home,1
Act fast limited 9765 offer available,1
Project discussion about 6am next week,0
Report submission for investment project,0
Earn 9033 per day from home,1
Meeting scheduled at 3am tomorrow,0
Class schedule for 12am has been updated,0
Please review the seminar document attached,0
Team meeting regarding 8am update,0
Congratulations you won 6682 prize claim now,1
Claim your 4557 reward before deadline,1
Lunch meeting at 3am today,0
Limited time offer get 3373 percent discount,1
Please review the course document attached,0
Congratulations you won 8221 prize claim now,1
Free 3725 membership register today,1
Class schedule for 3am has been updated,0
Urgent verify your 3459 account immediately,1
Earn 1566 per day from home,1
Exclusive deal buy now and save 7480,1
Lunch meeting at 7am today,0
Class schedule for 2am has been updated,0
Congratulations you won 7384 prize claim now,1
Claim your 4932 reward before deadline,1
Lunch meeting at 5am today,0
Class schedule for 11am has been updated,0
Team meeting regarding 5am update,0
Team meeting regarding 8am update,0
Team meeting regarding 7am update,0
Report submission for bank project,0
Lunch meeting at 6am today,0
Earn 2733 per day from home,1
Reminder about 6am deadline,0
Limited time offer get 8050 percent discount,1
Free 2435 membership register today,1
Win 5395 dollars now click here,1
Limited time offer get 8840 percent discount,1
Free 196 membership register today,1
Please review the offer document attached,0
Earn 9540 per day from home,1
Claim your 6629 reward before deadline,1
Invoice for 10am attached,0
Meeting scheduled at 12am tomorrow,0
Interview confirmation for course position,0
Interview confirmation for seminar position,0
Urgent verify your 1921 account immediately,1
Report submission for contract project,0
Free 7404 membership register today,1
Earn 4854 per day from home,1
Report submission for internship project,0
Invoice for 3am attached,0
Earn 5461 per day from home,1
Report submission for invoice project,0
Team meeting regarding 9am update,0
Act fast limited 2509 offer available,1
Meeting scheduled at 11am tomorrow,0
Report submission for course project,0
Limited time offer get 834 percent discount,1
You are selected for 885 bonus offer,1
Team meeting regarding 5am update,0
Meeting scheduled at 3am tomorrow,0
Meeting scheduled at 7am tomorrow,0
Congratulations you won 3892 prize claim now,1
Meeting scheduled at 11am tomorrow,0
Win 1782 dollars now click here,1
Win 5193 dollars now click here,1
Project discussion about 12am next week,0
Free 3145 membership register today,1
Earn 6858 per day from home,1
Limited time offer get 1131 percent discount,1
Interview confirmation for bonus position,0
Limited time offer get 4769 percent discount,1
Limited time offer get 8782 percent discount,1
Team meeting regarding 10am update,0
Congratulations you won 9385 prize claim now,1
Claim your 5670 reward before deadline,1
Win 4680 dollars now click here,1
You are selected for 9394 bonus offer,1
Exclusive deal buy now and save 9963,1
You are selected for 5840 bonus offer,1
Reminder about 8am deadline,0
Invoice for 1am attached,0
Earn 2005 per day from home,1
Team meeting regarding 10am update,0
Class schedule for 12am has been updated,0
Earn 8846 per day from home,1
Team meeting regarding 12am update,0
Congratulations you won 2727 prize claim now,1
Invoice for 10am attached,0
